round,rank,gender,cast
1,1897,m,gen
2,1976,m,gen
3,1976,m,gen
4,1976,m,gen
5,1976,m,gen
6,1976,m,gen
7,2083,m,gen
1,3766,f,gen
2,3766,f,gen
3,3766,f,gen
4,3766,f,gen
5,3766,f,gen
6,3766,f,gen
7,3766,f,gen
1,2390,f,obc
2,2390,f,obc
3,2390,f,obc
4,2390,f,obc
5,2390,f,obc
6,2390,f,obc
7,2390,f,obc
1,903,m,obc
2,903,m,obc
3,903,m,obc
4,903,m,obc
5,903,m,obc
6,911,m,obc
7,911,m,obc
1,475,m,sc
2,578,m,sc
3,578,m,sc
4,578,m,sc
5,578,m,sc
6,578,m,sc
7,646,m,sc
1,1214,f,sc
2,1214,f,sc
3,1214,f,sc
4,1214,f,sc
5,1214,f,sc
6,1214,f,sc
7,1214,f,sc
1,488,f,st
2,488,f,st
3,488,f,st
4,488,f,st
5,488,f,st
6,488,f,st
7,488,f,st
1,371,m,st
2,401,m,st
3,401,m,st
4,401,m,st
5,401,m,st
6,401,m,st
7,401,m,st
1,49,m,pwd
2,58,m,pwd
3,58,m,pwd
4,58,m,pwd
5,58,m,pwd
6,58,m,pwd
7,58,m,pwd
1,53,f,pwd
2,2390,f,pwd
3,2390,f,pwd
4,2390,f,pwd
5,2390,f,pwd
6,2390,f,pwd
7,2390,f,pwd
1,1934,m,gen
2,1939,m,gen
3,1939,m,gen
4,1939,m,gen
5,1977,m,gen
6,1977,m,gen
7,2049,m,gen
1,4418,f,gen
2,4418,f,gen
3,4418,f,gen
4,4418,f,gen
5,4418,f,gen
6,4418,f,gen
7,4418,f,gen
1,2907,f,obc
2,2907,f,obc
3,2907,f,obc
4,2907,f,obc
5,2907,f,obc
6,2907,f,obc
7,2907,f,obc
1,920,m,obc
2,1003,m,obc
3,1003,m,obc
4,1003,m,obc
5,1003,m,obc
6,1003,m,obc
7,1010,m,obc
1,662,m,sc
2,709,m,sc
3,709,m,sc
4,709,m,sc
5,709,m,sc
6,709,m,sc
7,709,m,sc
1,969,f,sc
2,969,f,sc
3,969,f,sc
4,969,f,sc
5,969,f,sc
6,969,f,sc
7,969,f,sc
1,878,f,st
2,878,f,st
3,878,f,st
4,878,f,st
5,878,f,st
6,878,f,st
7,878,f,st
1,386,m,st
2,433,m,st
3,433,m,st
4,433,m,st
5,433,m,st
6,433,m,st
7,433,m,st
1,53,m,pwd
2,53,m,pwd
3,53,m,pwd
4,53,m,pwd
5,53,m,pwd
6,53,m,pwd
7,53,m,pwd
1,53,f,pwd
2,53,f,pwd
3,53,f,pwd
4,53,f,pwd
5,53,f,pwd
6,53,f,pwd
7,53,f,pwd
1,1856,m,gen
2,1872,m,gen
3,1872,m,gen
4,1872,m,gen
5,1872,m,gen
6,1943,m,gen
7,1900,m,gen
1,3865,f,gen
2,4066,f,gen
3,4066,f,gen
4,4066,f,gen
5,4066,f,gen
6,4066,f,gen
7,4066,f,gen
1,3023,f,obc
2,3023,f,obc
3,3023,f,obc
4,3023,f,obc
5,3023,f,obc
6,3023,f,obc
7,3032,f,obc
1,980,m,obc
2,1004,m,obc
3,1004,m,obc
4,1004,m,obc
5,1004,m,obc
6,1004,m,obc
7,1004,m,obc
1,458,m,sc
2,458,m,sc
3,458,m,sc
4,458,m,sc
5,458,m,sc
6,458,m,sc
7,458,m,sc
1,1530,f,sc
2,1530,f,sc
3,1530,f,sc
4,1530,f,sc
5,1530,f,sc
6,1530,f,sc
7,1530,f,sc
1,549,f,st
2,549,f,st
3,549,f,st
4,549,f,st
5,549,f,st
6,549,f,st
7,549,f,st
1,340,m,st
2,340,m,st
3,549,m,st
4,340,m,st
5,340,m,st
6,359,m,st
7,359,m,st
1,104,m,pwd
2,113,m,pwd
3,113,m,pwd
4,113,m,pwd
5,113,m,pwd
6,113,m,pwd
7,113,m,pwd
1,130,f,pwd
2,130,f,pwd
3,130,f,pwd
4,130,f,pwd
5,130,f,pwd
6,130,f,pwd
7,130,f,pwd
