round,rank,gender,cast
1,4124,m,gen
2,4267,m,gen
3,4283,m,gen
4,4338,m,gen
5,4367,m,gen
6,4432,m,gen
7,4822,m,gen
1,2067,m,obc
2,2073,m,obc
3,2073,m,obc
4,2073,m,obc
5,2073,m,obc
6,2073,m,obc
7,2073,m,obc
1,1168,m,sc
2,1220,m,sc
3,1220,m,sc
4,1220,m,sc
5,1220,m,sc
6,1255,m,sc
7,1255,m,sc
1,448,m,st
2,470,m,st
3,470,m,st
4,470,m,st
5,470,m,st
6,470,m,st
7,470,m,st
1,7108,f,gen
2,7108,f,gen
3,7108,f,gen
4,7108,f,gen
5,7108,f,gen
6,7108,f,gen
7,7108,f,gen
1,3770,f,obc
2,3805,f,obc
3,3805,f,obc
4,-,f,obc
5,3805,f,obc
6,3805,f,obc
7,3805,f,obc
1,1831,f,sc
2,1831,f,sc
3,1831,f,sc
4,1831,f,sc
5,1831,f,sc
6,1831,f,sc
7,1831,f,sc
1,789,f,st
2,789,f,st
3,789,f,st
4,789,f,st
5,789,f,st
6,789,f,st
7,789,f,st
1,-,f,pwd
2,-,f,pwd
3,-,f,pwd
4,3805,f,pwd
1,4388,m,gen
2,4474,m,gen
3,4474,m,gen
4,4474,m,gen
5,4474,m,gen
6,4778,m,gen
7,5057,m,gen
1,2086,m,obc
2,2218,m,obc
3,2218,m,obc
4,2218,m,obc
5,2218,m,obc
6,2218,m,obc
7,2218,m,obc
1,1174,m,sc
2,1200,m,sc
3,1200,m,sc
4,1200,m,sc
5,1200,m,sc
6,1200,m,sc
7,1200,m,sc
1,614,m,st
2,614,m,st
3,614,m,st
4,614,m,st
5,614,m,st
6,614,m,st
7,614,m,st
1,8843,f,gen
2,-,f,gen
3,8843,f,gen
4,8843,f,gen
5,8843,f,gen
6,8843,f,gen
7,8920,f,gen
1,5232,f,obc
2,-,f,obc
3,5232,f,obc
4,5232,f,obc
5,5232,f,obc
6,5232,f,obc
7,5232,f,obc
1,2347,f,sc
2,-,f,sc
3,2347,f,sc
4,2347,f,sc
5,2347,f,sc
6,2347,f,sc
7,2347,f,sc
1,4699,f,st
2,4842,f,st
3,4842,f,st
4,4842,f,st
5,4842,f,st
6,5101,f,st
7,-,f,st
1,2157,f,pwd
2,2321,f,pwd
3,2321,f,pwd
4,2321,f,pwd
1,2371,m,gen
2,2372,m,gen
3,-,m,gen
4,1218,m,gen
5,1218,m,gen
6,1218,m,gen
7,1218,m,gen
1,1218,m,obc
2,1218,m,obc
3,-,m,obc
4,668,m,obc
5,668,m,obc
6,-,m,obc
7,668,m,obc
1,696,m,sc
2,696,m,sc
3,-,m,sc
4,9131,m,sc
5,10138,m,sc
6,10138,m,sc
7,10138,m,sc
1,10138,m,st
2,10147,m,st
3,-,m,st
4,5172,m,st
5,5387,m,st
6,5387,m,st
7,5387,m,st
1,5387,f,gen
2,5403,f,gen
3,-,f,gen
4,2301,f,gen
5,2364,f,gen
6,2364,f,gen
7,2364,f,gen
1,2364,f,obc
2,2364,f,obc
3,-,f,obc
4,,f,obc
5,,f,obc
6,,f,obc
7,,f,obc
1,,f,sc
2,,f,sc
3,,f,sc
4,,f,sc
5,,f,sc
6,,f,sc
7,,f,sc
1,,f,st
2,,f,st
3,,f,st
4,,f,st
5,,f,st
6,,f,st
7,,f,st
1,,f,pwd
2,,f,pwd
3,,f,pwd
4,,f,pwd
