round,2018,2019,2020,gender,cast
1,5329,5869,6765,m,gen
2,5548,6109,6845,m,gen
3,5548,6120,6845,m,gen
4,5548,6120,6849,m,gen
5,5557,6131,6900,m,gen
6,5581,6389,7159,m,gen
7,6033,6838,-,m,gen
1,2408,2637,3097,m,obc
2,2485,2737,3236,m,obc
3,2485,2737,3236,m,obc
4,2485,2737,3236,m,obc
5,2485,2737,3236,m,obc
6,2485,2738,3260,m,obc
7,2637,2828,-,m,obc
1,1268,1415,1713,m,sc
2,1293,1656,1834,m,sc
3,1293,1656,1834,m,sc
4,1293,1656,1834,m,sc
5,1295,1656,1834,m,sc
6,1307,1656,1860,m,sc
7,1359,1694,-,m,sc
1,564,644,800,m,st
2,592,665,836,m,st
3,592,665,-,m,st
4,592,665,836,m,st
5,592,665,890,m,st
6,592,665,890,m,st
7,597,665,-,m,st
1,9676,13276,14669,f,gen
2,9904,-,14669,f,gen
3,9904,13276,14669,f,gen
4,9904,13276,14669,f,gen
5,9904,13276,14902,f,gen
6,9904,13276,15456,f,gen
7,9904,13483,-,f,gen
1,5329,6885,6879,f,obc
2,5789,-,6952,f,obc
3,5789,6935,7193,f,obc
4,-,6935,7193,f,obc
5,5789,6935,7193,f,obc
6,5789,6935,7193,f,obc
7,5789,6935,-,f,obc
1,2422,2980,2827,f,sc
2,2422,-,2827,f,sc
3,2422,3115,2938,f,sc
4,2422,3115,2938,f,sc
5,2422,3115,3052,f,sc
6,2422,3115,3052,f,sc
7,2499,3115,-,f,sc
1,5789,5436,,f,pwd
2,5789,5436,,f,pwd
3,5789,5436,,f,pwd
4,5789,5436,,f,pwd
